2020-04-01,Nevada,Lyon County,Hotel,4be061fa4c55b6517b6aeab7,Comfort Suites,1
2020-04-01,Nevada,Clark County,Big Box Stores,4b9b2e26f964a52042f835e3,Walmart,18
2020-04-01,Nevada,Clark County,Big Box Stores,4a7b9e06f964a52091eb1fe3,Target,19
2020-04-01,Nevada,Clark County,Big Box Stores,4b2f073df964a52031e924e3,Target,20
2020-04-01,Nevada,Clark County,Big Box Stores,4aea6a83f964a52075bb21e3,Target,21
2020-04-01,Nevada,Clark County,Big Box Stores,4b10dce5f964a520547623e3,Target,22
2020-04-01,Nevada,Clark County,Big Box Stores,4c33a96ced37a59342ba6d03,Target,23
2020-04-01,Nevada,Clark County,Big Box Stores,4b76e6f8f964a520cb682ee3,Target,24
2020-04-01,Nevada,Clark County,Big Box Stores,4aac0c33f964a520e25b20e3,Target,25
2020-04-01,Nevada,Clark County,Big Box Stores,4b1c2ad7f964a520680324e3,Target,26
2020-04-01,Nevada,Clark County,Big Box Stores,4b32f5e6f964a5206a1625e3,Target,27
2020-04-01,Nevada,Clark County,Big Box Stores,4a7226dcf964a52078da1fe3,Target,28
2020-04-01,Nevada,Clark County,Big Box Stores,4b51347af964a520324727e3,Target,29
2020-04-01,Nevada,Clark County,Big Box Stores,4b254c2bf964a5208b6f24e3,Target,30
2020-04-01,Nevada,Clark County,Grocery,55a05dda498e29417675f8d7,Smith's,1
2020-04-01,Nevada,Clark County,Grocery,5b22b58f598e64002cf31aba,Smith’s Marketplace,2
2020-04-01,Nevada,Clark County,Grocery,4ed114300e61efa331d49a27,WinCo Foods,3
2020-04-01,Nevada,Clark County,Grocery,4c0849e8bbc676b07e5f46d5,Albertsons,4
2020-04-01,Nevada,Clark County,Grocery,4bad76cef964a52090533be3,Smith's,5
2020-04-01,Nevada,Clark County,Grocery,4bdb5fc02a3a0f47d8bbaeb6,Smith's,6
2020-04-01,Nevada,Clark County,Grocery,4b5b79fff964a5201e0129e3,Smith's,7
2020-04-01,Nevada,Clark County,Grocery,54f87301498ea61cbab78e9c,Smith's,8
2020-04-01,Nevada,Clark County,Grocery,4b5b3e08f964a520b8ed28e3,Smith's,9
2020-04-01,Nevada,Clark County,Grocery,4b64ed50f964a52045da2ae3,Smith's,10
2020-04-01,Nevada,Clark County,Grocery,4b774bd7f964a520d28f2ee3,Walmart Neighborhood Market,11
2020-04-01,Nevada,Clark County,Grocery,4ac62bfaf964a52008b320e3,Walmart Neighborhood Market,12
2020-04-01,Nevada,Clark County,Grocery,4c8583acd4e237046fc28388,Smith's,13
2020-04-01,Nevada,Clark County,Grocery,4ae4eb04f964a5206b9f21e3,Smith's,14
2020-04-01,Nevada,Clark County,Grocery,4bf353aa6ba2b713f41d8977,Smith's,15
2020-04-01,Nevada,Clark County,Grocery,4b6784bbf964a5207e532be3,Smith's,16
2020-04-01,Nevada,Clark County,Grocery,4aa33e41f964a520c14320e3,Smith's,17
2020-04-01,Nevada,Clark County,Grocery,5b216d2ada2e00002b0846f0,Smith's Food & Drug,18
2020-04-01,Nevada,Clark County,Grocery,4f2b28bde4b0009b30c76715,WinCo Foods,19
2020-04-01,Nevada,Clark County,Grocery,4b03d300f964a5204a5022e3,Smith's,20
2020-04-01,Nevada,Clark County,Grocery,4aeccc95f964a5204dcb21e3,Smith's,21
2020-04-01,Nevada,Clark County,Grocery,4b847a54f964a520d93731e3,La Bonita,22
2020-04-01,Nevada,Clark County,Grocery,4c02d625f423a5935e66cf16,VONS,23
2020-04-01,Nevada,Clark County,Grocery,4bc5213c0a30d13a45b5599c,Smith's,24
2020-04-01,Nevada,Clark County,Grocery,4aecb8a3f964a5209cca21e3,Smith's,25
2020-04-01,Nevada,Clark County,Grocery,4b2559d1f964a520867024e3,Albertsons,26
2020-04-01,Nevada,Clark County,Grocery,4bb27c37a32876b0f4aa00fe,Walmart Neighborhood Market,27
2020-04-01,Nevada,Clark County,Grocery,4ba2e4aff964a520e82038e3,Albertsons,28
2020-04-01,Nevada,Clark County,Grocery,5900d310c5b11c2a5591e3b0,Albertsons,29
2020-04-01,Nevada,Clark County,Grocery,56e3271f498e5021b45197a4,Smith's,30
2020-04-01,Nevada,Clark County,Grocery,4b228f58f964a5200c4924e3,Albertsons,31
2020-04-01,Nevada,Clark County,Grocery,4baaa15cf964a5201e7b3ae3,Smith's,32
2020-04-01,Nevada,Clark County,Grocery,4ae1f799f964a5203a8921e3,Walmart Neighborhood Market,33
2020-04-01,Nevada,Clark County,Grocery,4cb09729cbab236ac9aba173,El Super,34
2020-04-01,Nevada,Clark County,Grocery,4b34297ff964a520af2525e3,Smith's,35
2020-04-01,Nevada,Clark County,Grocery,4b47bbdff964a520673c26e3,Walmart Neighborhood Market,36
2020-04-01,Nevada,Clark County,Grocery,4b5b87b0f964a520040529e3,Smith's,37
2020-04-01,Nevada,Clark County,Grocery,4ae4eba5f964a520729f21e3,Walmart Neighborhood Market,38
2020-04-01,Nevada,Clark County,Grocery,4bb376f542959c7449f3212c,La Bonita,39
2020-04-01,Nevada,Clark County,Grocery,4bc9f3fa0687ef3b65dadacc,Albertsons,40
2020-04-01,Nevada,Clark County,Grocery,54fa1324498e6880b6814305,Smith's,41
2020-04-01,Nevada,Clark County,Grocery,4b707414f964a520651b2de3,Walmart Neighborhood Market,42
2020-04-01,Nevada,Clark County,Grocery,5898e79ca8b7597bcfdb3403,La Bonita,43
2020-04-01,Nevada,Clark County,Grocery,4b9d7b4cf964a5208aaf36e3,Nellis AFB Commissary,44
2020-04-01,Nevada,Clark County,Grocery,4bbf6f4eb083a593b16ea3e9,Smith's,45
2020-04-01,Nevada,Clark County,Grocery,51786bd583028d209ceab4d7,La Bonita,46
2020-04-01,Nevada,Clark County,Grocery,4b32b4fbf964a520501225e3,Smith's,47
2020-04-01,Nevada,Clark County,Grocery,4c4b829f712ac9283e69f96c,El Super,48
2020-04-01,Nevada,Clark County,Grocery,4c254382905a0f47233e6160,Smith's,49
2020-04-01,Nevada,Clark County,Grocery,4ae49e0af964a5205c9c21e3,Albertsons,50
2020-04-01,Nevada,Clark County,Grocery,4ba4109df964a520a87d38e3,Smith's,51
2020-04-01,Nevada,Clark County,Grocery,4b1c3c3ef964a520cf0424e3,Albertsons,52
2020-04-01,Nevada,Clark County,Grocery,4b117ce2f964a520a17d23e3,Cardenas Markets,53
2020-04-01,Nevada,Clark County,Grocery,4b0f0a53f964a5207b5e23e3,Albertsons,54
2020-04-01,Nevada,Clark County,Grocery,4b4bdb1ef964a520b5a926e3,Smith's,55
2020-04-01,Nevada,Clark County,Grocery,548f56a6498e56416738f4ab,Cardenas Markets,56
2020-04-01,Nevada,Clark County,Grocery,4b593743f964a520ab8128e3,Albertsons,57
2020-04-01,Nevada,Clark County,Grocery,4c61e622ec94a593f21d28ca,Walmart Neighborhood Market,58
2020-04-01,Nevada,Clark County,Grocery,500f018c6de460cacb3d6c81,VONS,59
2020-04-01,Nevada,Clark County,Grocery,4bf8017a5317a59338f2fe7e,Mariana's Supermarkets,60
2020-04-01,Nevada,Clark County,Grocery,4c01e0b8f8492d7fbaa05ffa,Mariana's Supermarkets,61
2020-04-01,Nevada,Clark County,Grocery,4b06e3cbf964a52048f222e3,Albertson's,62
2020-04-01,Nevada,Clark County,Grocery,4bd9d1fde914a593900f58fa,Cardenas Markets,63
2020-04-01,Nevada,Clark County,Grocery,4bba86837421a5939ef1c340,Smith's,64
2020-04-01,Nevada,Clark County,Grocery,4d0edef8b765224b1a09e232,Cardenas Markets,65
2020-04-01,Nevada,Clark County,Grocery,4ae26542f964a520fe8d21e3,Albertsons,66
2020-04-01,Nevada,Clark County,Grocery,4b508669f964a520142627e3,Albertsons,67
2020-04-01,Nevada,Clark County,Grocery,4b943d98f964a520a37034e3,Albertsons,68
2020-04-01,Nevada,Clark County,Grocery,4c7afc10bd346dcbd453faef,Walmart Neighborhood Market,69
2020-04-01,Nevada,Clark County,Grocery,4b418188f964a52038c725e3,Smith's,70
2020-04-01,Nevada,Clark County,Grocery,4b64ef69f964a520dada2ae3,Smith's,71
2020-04-01,Nevada,Clark County,Grocery,4ba94a32f964a520de1b3ae3,Walmart Neighborhood Market,72
2020-04-01,Nevada,Clark County,Grocery,4bb6787a941ad13a707d1fe3,Smith's,73
2020-04-01,Nevada,Clark County,Grocery,4babffeef964a520f3dc3ae3,Albertsons,74
2020-04-01,Nevada,Clark County,Grocery,5c9d0fa7fd16bb002cbece1d,Sprouts Farmers Market,75
2020-04-01,Nevada,Clark County,Grocery,4b554da4f964a52037e127e3,Smith's,76
2020-04-01,Nevada,Clark County,Grocery,5ba83b8ea795bd002cac6b9c,Mariana’s Supermarket,77
2020-04-01,Nevada,Clark County,Grocery,4b9efee8f964a520040f37e3,Smith's,78
2020-04-01,Nevada,Clark County,Grocery,54f7a50a498e4ed72f5fa8a3,Smith's,79
2020-04-01,Nevada,Clark County,Grocery,4b26a711f964a520017f24e3,Albertsons,80
2020-04-01,Nevada,Clark County,Grocery,4bcb9ae8937ca593fff9a992,Albertsons,81
2020-04-01,Nevada,Clark County,Grocery,4b8c3f5df964a5206ec632e3,Albertsons,82
2020-04-01,Nevada,Clark County,Grocery,5b719d29535d6f002c06053c,Sprouts Farmers Market,83
2020-04-01,Nevada,Clark County,Grocery,4a88d629f964a520ad0720e3,Albertsons,84
2020-04-01,Nevada,Clark County,Grocery,4bb6c1932f70c9b62efa8530,Albertsons,85
2020-04-01,Nevada,Clark County,Grocery,4be6ff07d4f7c9b66e4f2720,Smith's,86
2020-04-01,Nevada,Clark County,Grocery,553be2dd498e8c490762afe7,El Super,87
2020-04-01,Nevada,Clark County,Grocery,5aa6e7ca16fa0409558c6656,Walmart Grocery Pickup and Delivery,88
2020-04-01,Nevada,Clark County,Grocery,541732a7498ed4d96755de20,Trader Joe's,89
2020-04-01,Nevada,Clark County,Grocery,4b08a2b3f964a520f40f23e3,Albertsons,90
2020-04-01,Nevada,Clark County,Grocery,4b65d67af964a5201f032be3,Smart & Final,91
2020-04-01,Nevada,Clark County,Grocery,4ba517e3f964a52037dc38e3,Smith's,92
2020-04-01,Nevada,Clark County,Grocery,4b81bb23f964a52091ba30e3,Albertsons,93
2020-04-01,Nevada,Clark County,Grocery,500f018c6de460cacb3d6c80,VONS,94
2020-04-01,Nevada,Clark County,Grocery,4b87157df964a5209eaf31e3,VONS,95
2020-04-01,Nevada,Clark County,Grocery,58eedac52b98446fbaf31902,Sprouts Farmers Market,96
2020-04-01,Nevada,Clark County,Grocery,4bca57a20687ef3ba5eadbcc,Albertsons,97
2020-04-01,Nevada,Clark County,Grocery,598263b164c8e12750539b54,Walmart Grocery Pickup,98
2020-04-01,Nevada,Clark County,Grocery,4ae79048f964a5206cac21e3,Greenland Supermarket,99
2020-04-01,Nevada,Clark County,Grocery,4b7dfb23f964a52060dd2fe3,Mariana's Supermarkets,100
2020-04-01,Nevada,Clark County,Grocery,5b381606666116002c01434e,Seafood City Supermarket,101
2020-04-01,Nevada,Clark County,Grocery,4dae2a006e81e2dffdc2affd,Marketon,102
2020-04-01,Nevada,Clark County,Grocery,4b59d222f964a520179a28e3,Albertsons,103
2020-04-01,Nevada,Clark County,Grocery,4ce2f8f00d4c6a316c953bfc,VONS,104
2020-04-01,Nevada,Clark County,Grocery,4b53c05df964a52044aa27e3,Sprouts Farmers Market,105
2020-04-01,Nevada,Clark County,Grocery,5ba43f8493bd63002c9f08e2,Sprouts Farmers Market,106
2020-04-01,Nevada,Clark County,Grocery,53d830b5498ed5e0a26c58b9,Sprouts Farmers Market,107
2020-04-01,Nevada,Clark County,Grocery,4b703af2f964a520cf0c2de3,Albertsons,108
2020-04-01,Nevada,Clark County,Grocery,58124f8338fa978d58c37760,Albertsons,109
2020-04-01,Nevada,Clark County,Grocery,4b522b40f964a5201b6d27e3,International Marketplace,110
2020-04-01,Nevada,Clark County,Grocery,4aac25c2f964a520815c20e3,Sprouts Farmers Market,111
2020-04-01,Nevada,Clark County,Grocery,4c0ad869ffb8c9b684576c61,Albertsons,112
2020-04-01,Nevada,Clark County,Grocery,4b33f88bf964a520132325e3,Whole Foods Market,113
2020-04-01,Nevada,Clark County,Grocery,4bc61ce3db8fa5935dc99b37,VONS,114
2020-04-01,Nevada,Clark County,Grocery,4ce30e4c47d5a14364c7071d,Smart & Final,115
2020-04-01,Nevada,Clark County,Grocery,4afdd172f964a520292b22e3,Trader Joe's,116
2020-04-01,Nevada,Clark County,Grocery,4a70a1f0f964a52001d81fe3,Whole Foods Market,117
2020-04-01,Nevada,Clark County,Grocery,4c83d562d92ea09311715772,Albertsons,118
2020-04-01,Nevada,Clark County,Grocery,5775635c498efeaf39cf3052,Sprouts Farmers Market,119
2020-04-01,Nevada,Clark County,Grocery,4b187fd3f964a5208ad323e3,Trader Joe's,120
2020-04-01,Nevada,Clark County,Grocery,5aa6e7cdc0cacb22a53d9a7e,Walmart Grocery Pickup and Delivery,121
2020-04-01,Nevada,Clark County,Grocery,4b22817ef964a520f54724e3,Trader Joe's,122
2020-04-01,Nevada,Clark County,Grocery,4d4e28408975a35da2de0ba8,La Bonita,123
2020-04-01,Nevada,Clark County,Grocery,4b7a3656f964a52075262fe3,Aldapes Market Place,124
2020-04-01,Nevada,Clark County,Grocery,4d82b1c2f1e56ea82e8d528a,Marketon,125
2020-04-01,Nevada,Clark County,Grocery,500f018c6de460cacb3d6c7f,VONS,126
2020-04-01,Nevada,Clark County,Grocery,5397a7e1498ecd1162721aea,Sprouts Farmers Market,127
2020-04-01,Nevada,Lyon County,Convenience Store,5977d909a8eb603d9b2212ea,Stagecoach Country Market,1
2020-04-01,Nevada,Carson City,Fast Food Restaurants,4b8879f3f964a520b2fa31e3,Del Taco,1
2020-04-01,Nevada,Washoe County,Fast Food Restaurants,4e248a0a628469a57434b411,McDonald's,1
2020-04-01,Nevada,Storey County,Gas Stations,4b88a44ef964a5204a0632e3,Golden Gate Auto-Truck Plaza,1
2020-04-01,Nevada,Clark County,Shops & Services,4e1b99c56284102ec195c88f,Rainbow Springs Shopping Center,1
2020-04-01,Nevada,Clark County,Shops & Services,4ba69efff964a520926339e3,Costco,2
2020-04-01,Nevada,Clark County,Shops & Services,599b5dcae679bc5553f70269,Walmart Auto Care Centers,3
2020-04-01,Nevada,Clark County,Shops & Services,4b70b4f5f964a520c82a2de3,Sam's Club,4
2020-04-01,Nevada,Clark County,Shops & Services,4f5d4a94e4b085f52efbfdf6,Southern Highlands Marketplace,5
2020-04-01,Nevada,Clark County,Shops & Services,4bc6855ff360ef3b93f1db2d,Sam's Club,6
2020-04-01,Nevada,Clark County,Shops & Services,4b09cc44f964a520d51d23e3,Costco,7
2020-04-01,Nevada,Clark County,Shops & Services,4c8bd3395e38b1f787932bf9,The Arroyo Market Square,8
2020-04-01,Nevada,Clark County,Shops & Services,4b463a33f964a520b41a26e3,Costco Business Center,9
2020-04-01,Nevada,Clark County,Shops & Services,5be45cbd81635b002c886d2e,Costco,10
2020-04-01,Nevada,Clark County,Shops & Services,522e5093498e65881115084c,Shadow Mountain Marketplace,11
2020-04-01,Nevada,Clark County,Shops & Services,4c7c5bed3e90a1cdf57242be,Boulder Crossing Shopping Plaza,12
2020-04-01,Nevada,Clark County,Shops & Services,4b906e88f964a520128a33e3,Sam's Club,13
2020-04-01,Nevada,Clark County,Shops & Services,5a04c236446ea61a3f038611,NuWu Cannabis Marketplace,14
2020-04-01,Nevada,Clark County,Shops & Services,4b6b67dcf964a52092062ce3,Sam's Club,15
2020-04-01,Nevada,Clark County,Shops & Services,4ac151ccf964a520bf9620e3,Costco,16
2020-04-01,Nevada,Clark County,Shops & Services,4b36a216f964a520923925e3,Sam's Club,17
2020-04-01,Nevada,Clark County,Shops & Services,501485c2e4b0f8ec78a5cc0d,Southwest Marketplace,18
2020-04-01,Nevada,Clark County,Shops & Services,4a6cf730f964a52037d21fe3,Town Square,19
2020-04-01,Nevada,Clark County,Shops & Services,53457ce911d2e1a8e3180c87,Downtown Summerlin,20
2020-04-01,Nevada,Clark County,Shops & Services,4b19c70af964a520fce323e3,Sam's Club,21
2020-04-01,Nevada,Clark County,Shops & Services,593af229588e362dae95a4e8,Mountain's Edge Marketplace,22
2020-04-01,Nevada,Clark County,Shops & Services,4f8c45eae4b0ab5c8a901b19,Grand Canyon Parkway,23
2020-04-01,Nevada,Clark County,Shops & Services,5719d9e8498eaa31fc13d852,Conn's HomePlus,24
2020-04-01,Nevada,Clark County,Shops & Services,5cf2f771c03635002c9feb4b,The Chicken Co,25
2020-04-01,Nevada,Clark County,Shops & Services,5a074b12419a9e21058268fb,J.L. Bowler Plaza,26
2020-04-01,Nevada,Clark County,Shops & Services,4ca3f217b0ff8cfa3ffdbb5e,Redbox,27
2020-04-01,Nevada,Clark County,Shops & Services,58e94581cf44513fb62291a0,Flamingo Promenade Shopping Center,28
2020-04-01,Nevada,Clark County,Shops & Services,4cf6ea3981cd6dcb4e917e0d,Costco Tire Sales,29
2020-04-01,Nevada,Clark County,Shops & Services,4d9d057ac99fb60c4bd9be8b,Best in the West Shopping Center,30
2020-04-01,Nevada,Clark County,Shops & Services,531e61c5498e56302ff36029,"onefortythree, llc",31
2020-04-01,Nevada,Clark County,Shops & Services,4cfefdb166ee9eb09540a74e,U.S. Bank ATM,32
2020-04-01,Nevada,Clark County,Shops & Services,52d4693e498ea26e64f89972,Flux Capacitor Storage,33
2020-04-01,Nevada,Clark County,Shops & Services,4b8ee181f964a520773c33e3,BX - Base Exchange,34
2020-04-01,Nevada,Clark County,Shops & Services,4b05bc0ef964a520f3e122e3,Grand Canal Shoppes,35
2020-04-01,Nevada,Clark County,Shops & Services,5c9696adcf72a0002ced16e9,Tommy's Express Car Wash,36
2020-04-01,Nevada,Clark County,Shops & Services,4efb8bcd93ad9a2797e95ca9,KoreaTown Plaza,37
2020-04-01,Nevada,Clark County,Shops & Services,4c9ab95d78ffa093d8446f75,Ocotillo Plaza,38
2020-04-01,Nevada,Clark County,Shops & Services,5747ab10498e2665b59282c7,THRIVE Cannabis Marketplace,39
2020-04-01,Nevada,Clark County,Shops & Services,52fbcb06498ee0f7bf49d416,Laundry Land,40
2020-04-01,Nevada,Clark County,Shops & Services,4ae4a25cf964a520889c21e3,Kmart,41
2020-04-01,Nevada,Clark County,Shops & Services,5733d541cd10222203a57554,Island Pacific Seafood Market,42
2020-04-01,Nevada,Clark County,Shops & Services,4b9d22b2f964a520bf9236e3,Restaurant Depot,43
2020-04-01,Nevada,Clark County,Shops & Services,4c9d1b2915909eb04648bafb,Extra Space Storage,44
2020-04-01,Nevada,Clark County,Shops & Services,537fb203498eaf0c78fd49d1,Sahara Center,45
2020-04-01,Nevada,Clark County,Shops & Services,4b2c2d88f964a52038c324e3,PetSmart,46
2020-04-01,Nevada,Clark County,Shops & Services,567f6252498edbf19ae9cf2f,Smart & Final Extra,47
2020-04-01,Nevada,Clark County,Shops & Services,5af4f46fd48ec1002ceea55d,Seafood City,48
2020-04-01,Nevada,Clark County,Shops & Services,529653b7498e0ada40bd914e,AJ Alterations,49
2020-04-01,Nevada,Clark County,Shops & Services,5980f1e5c824ae2d93124276,WOW Carwash - Lake Mead,50
2020-04-01,Nevada,Clark County,Shops & Services,4d2c8765774f76eb899d9533,Safelite AutoGlass,51
2020-04-01,Nevada,Clark County,Shops & Services,4bb39cf942959c74c731222c,Star Nursery,52
2020-04-01,Nevada,Clark County,Shops & Services,5b61fff3d48ec10039883f11,Sprouts Farmers Market,53
2020-04-01,Nevada,Clark County,Shops & Services,4b8feecef964a5206d6a33e3,Office Depot,54
2020-04-01,Nevada,Clark County,Shops & Services,51735285e4b0773c63891cda,Lemon Drop Car Wash,55
2020-04-01,Nevada,Clark County,Shops & Services,42911d00f964a520f9231fe3,Fashion Show Mall,56
2020-04-01,Nevada,Clark County,Shops & Services,4bf727675ec320a12e8c86d3,AutoZone,57
2020-04-01,Nevada,Clark County,Shops & Services,4e445bca091a286cc7f8283a,Rancho Swap Meet,58
2020-04-01,Nevada,Clark County,Shops & Services,4c17ace359cc2d7fcdff5287,Fabulous Freddy's,59
2020-04-01,Nevada,Clark County,Nightlife Spots,5cd71413f1936e002b9c43c8,Distill,1
2020-04-01,Nevada,Clark County,Nightlife Spots,4e3294f76284e26999480bc4,Stonehouse Bar & Grill,2
2020-04-01,Nevada,Clark County,Nightlife Spots,4b75980af964a520e3162ee3,107 SkyLounge,3
2020-04-01,Nevada,Elko County,Government,4bed9ced6e8c20a1a8a27061,Nevada Department of Motor Vehicles,1
2020-04-01,Nevada,Humboldt County,Gas Stations,4c0c68a1b1b676b08b23df86,Pilot Travel Center,1
2020-04-01,Nevada,Humboldt County,Gas Stations,53ea3601498e8c7ea0c6f0bb,Flying J,2
2020-04-01,Nevada,Lyon County,Gas Stations,4b859c0df964a5206b6831e3,Chevron,1
2020-04-01,Nevada,Lyon County,Gas Stations,4b86d13bf964a5205e9f31e3,Pilot Travel Centers,2
2020-04-01,Nevada,Lyon County,Gas Stations,533dc89f498e34756c4e94ad,Flying J,3
2020-04-01,Nevada,Lyon County,Gas Stations,4b8363cdf964a520e00431e3,Fox Peak Station,4
2020-04-01,Nevada,Washoe County,Discount Stores,537f5b99498e7fd31bc82fbf,Dollar General,1
2020-04-01,Nevada,Eureka County,Office,4ed1971f2c5bc3505875cfb4,Newmont Gold Mine,1
2020-04-01,Nevada,Pershing County,Gas Stations,4dd5a38c1838b8561cba0839,TravelCenters of America,1
2020-04-01,Nevada,Pershing County,Gas Stations,501edd80e4b06507356661a7,Golden Gate Gas,2
2020-04-01,Nevada,Humboldt County,Convenience Store,5863bc49ac13690a1b3eb24d,Maverik #553,1
2020-04-01,Nevada,Storey County,Professional & Other Places,54f65958498e0c74663487ba,Tesla Gigafactory 1,1
2020-04-01,Nevada,Storey County,Professional & Other Places,4bbd10ca8a4fb713fd8e3c9d,Walmart Distribution Center,2
2020-04-01,Nevada,Storey County,Professional & Other Places,56b221c9498e55916d29668b,Zulily Fulfillment Center,3
2020-04-01,Nevada,Washoe County,Airport,49f5f596f964a520df6b1fe3,Reno-Tahoe International Airport,1
2020-04-01,Nevada,Clark County,School,4e1b8f76d164040ac7bf41b2,Desert Rose Adult High School,1
2020-04-01,Nevada,Clark County,School,4ca0bacc8afca093783c1516,Marc Kahre Elementary School,2
2020-04-01,Nevada,Clark County,School,4bc5f63cbf29c9b66bfcf82a,Rancho High School,3
2020-04-01,Nevada,Clark County,School,4bbb7864e6e7b7137819f879,Von Tobel Middle School,4
2020-04-01,Nevada,Clark County,School,4c28d7239fb5d13a6d319a57,Ronzone Elementary School,5
2020-04-01,Nevada,Clark County,School,4b718e36f964a5202c4d2de3,Joseph E. Thiriot Elementary School,6
2020-04-01,Nevada,Clark County,School,4d891f265ecdf04d4664a38a,Dorothy Eisenberg Elementary School,7
2020-04-01,Nevada,Clark County,School,4c9e6a722fb1a143f464ea40,Wilhelm Elementary,8
2020-04-01,Nevada,Clark County,School,4bcc8ec5511f9521a130b3c7,Ed W. Clark High School,9
2020-04-01,Nevada,Churchill County,Big Box Stores,4ddd82a87d8bb03c069f7c9d,Walmart Supercenter,1
2020-04-01,Nevada,Clark County,Drug Store,4b82cde4f964a52004e630e3,Walgreens,1
